                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 0.0681,                0.92131,                0.98251,                 2.9163,             0.00020506,             0.00020506,             0.00020506
                     74,                0.06519,                 0.9224,                0.98361,                 2.9165,             0.00019799,             0.00019799,             0.00019799
                     75,                0.07196,                0.91694,                0.98361,                 2.9182,             0.00019092,             0.00019092,             0.00019092
                     76,                0.05773,                0.91475,                0.98361,                 2.9178,             0.00018385,             0.00018385,             0.00018385
                     77,                 0.0616,                0.91803,                0.98251,                 2.9172,             0.00017679,             0.00017679,             0.00017679
                     78,                0.07363,                0.91585,                 0.9847,                 2.9178,             0.00016972,             0.00016972,             0.00016972
                     79,                0.06476,                0.91148,                 0.9847,                 2.9174,             0.00016265,             0.00016265,             0.00016265
                     80,                0.06365,                0.91803,                0.98142,                 2.9147,             0.00015558,             0.00015558,             0.00015558
                     81,                0.05089,                0.91257,                0.98251,                 2.9143,             0.00014851,             0.00014851,             0.00014851
                     82,                 0.0574,                0.92022,                0.98251,                 2.9111,             0.00014144,             0.00014144,             0.00014144
                     83,                0.05824,                0.91913,                0.98579,                 2.9093,             0.00013437,             0.00013437,             0.00013437
                     84,                0.04921,                0.91694,                 0.9847,                 2.9133,             0.00012731,             0.00012731,             0.00012731
                     85,                0.06797,                0.91803,                0.98142,                 2.9153,             0.00012024,             0.00012024,             0.00012024
                     86,                0.06386,                0.91694,                0.98579,                 2.9157,             0.00011317,             0.00011317,             0.00011317
                     87,                0.04808,                0.91475,                0.98579,                 2.9155,              0.0001061,              0.0001061,              0.0001061
                     88,                0.05527,                0.91803,                0.98579,                 2.9119,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.05946,                 0.9224,                 0.9847,                 2.9122,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.05416,                0.92131,                 0.9847,                 2.9132,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                  0.049,                0.92022,                0.98579,                 2.9131,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.05824,                0.92022,                 0.9847,                 2.9134,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.04978,                0.91913,                 0.9847,                 2.9126,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.04724,                 0.9224,                 0.9847,                 2.9104,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.05291,                 0.9224,                 0.9847,                 2.9124,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.05201,                0.92022,                0.98361,                 2.9132,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.04869,                 0.9224,                0.98361,                 2.9122,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.04198,                0.92022,                0.98361,                 2.9118,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.04517,                0.92022,                0.98361,                 2.9113,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 0.0479,                 0.9235,                 0.9847,                 2.9107,             1.4209e-05,             1.4209e-05,             1.4209e-05
